blocknum,parttime_2007,parttime_2012,parttime_2017,parttime_2022,parttimejob_growth_2007_2022_pct,suburb
1158,95,99,439,1,-98.9%,Alexandria
1159,140,39,87,157,12.1%,Alexandria
1160,2,2,1,1,-50.0%,Alexandria
1161,3,121,3,3,0.0%,Alexandria
1163,24,8,7,7,-70.8%,Alexandria
1164,8,3,30,7,-12.5%,Alexandria
1201,0,2,1,4,0.0%,Zetland
1202,0,0,0,0,0.0%,Zetland
1203,0,0,0,0,0.0%,Zetland
1204,0,0,0,0,0.0%,Zetland
1205,0,0,0,0,0.0%,Zetland
1206,0,0,0,0,0.0%,Zetland
1207,0,0,0,0,0.0%,Zetland
1208,7,0,1,1,-85.7%,Zetland
1209,5,7,2,2,-60.0%,Zetland
1210,0,0,0,0,0.0%,Zetland
1211,0,0,0,0,0.0%,Zetland
1212,4,5,0,13,225.0%,Zetland
1213,45,0,0,27,-40.0%,Zetland
1214,8,8,17,7,-12.5%,Zetland
1215,0,0,0,0,0.0%,Zetland
1216,0,7,4,4,0.0%,Zetland
