blocknum,parttime_2007,parttime_2012,parttime_2017,parttime_2022,parttimejob_growth_2007_2022_pct,suburb
343,17,30,24,52,205.9%,"Pott Point"
344,5,10,5,8,60.0%,"Pott Point"
345,10,5,0,19,90.0%,"Pott Point"
346,3,29,2,0,-100.0%,"Pott Point"
347,4,8,7,0,-100.0%,"Pott Point"
348,11,0,10,12,9.1%,"Pott Point"
349,14,14,4,2,-85.7%,"Pott Point"
350,129,75,93,72,-44.2%,"Pott Point"
351,7,15,8,15,114.3%,"Pott Point"
352,1,8,9,20,0.0%,"Pott Point"
353,4,1,21,6,50.0%,"Pott Point"
354,23,46,77,66,187.0%,"Pott Point"
355,10,9,11,15,50.0%,"Pott Point"
356,0,4,0,3,0.0%,"Pott Point"
357,20,22,64,84,320.0%,"Pott Point"
360,53,39,42,558,952.8%,"Moore Park"
361,17,22,8,309,1717.6%,"Moore Park"
362,445,341,135,772,73.5%,"Moore Park"
363,5,10,8,27,440.0%,"Moore Park"
370,17,17,52,84,394.1%,"Moore Park"
371,41,41,6,22,-46.3%,"Moore Park"
372,0,0,0,1,0.0%,"Moore Park"
373,36,35,16,86,138.9%,"Moore Park"
374,0,0,0,0,0.0%,"Moore Park"
375,1,0,0,3,0.0%,"Moore Park"
376,1,4,2,1,0.0%,"Moore Park"
377,0,0,0,0,0.0%,"Moore Park"
378,0,0,0,0,0.0%,"Moore Park"
379,0,0,0,6,0.0%,"Moore Park"
380,0,0,0,0,0.0%,"Moore Park"
381,6,3,1,2,-66.7%,"Moore Park"
382,7,0,0,19,171.4%,"Moore Park"
383,47,37,13,55,17.0%,"Moore Park"
384,6,7,2,15,150.0%,"Moore Park"
385,4,4,1,1,-75.0%,"Moore Park"
386,0,0,0,0,0.0%,"Moore Park"
387,0,0,0,0,0.0%,"Moore Park"
388,0,0,0,0,0.0%,"Moore Park"
389,0,0,1,1,0.0%,"Moore Park"
390,1,1,0,0,0.0%,"Moore Park"
391,39,39,34,117,200.0%,"Moore Park"
392,12,16,21,17,41.7%,"Moore Park"
393,7,7,3,4,-42.9%,"Moore Park"
394,6,6,8,8,33.3%,"Moore Park"
395,0,0,0,0,0.0%,"Moore Park"
396,0,0,0,0,0.0%,"Moore Park"
398,43,80,182,300,597.7%,"Moore Park"
399,0,0,0,2,0.0%,"Moore Park"
400,1,1,2,5,0.0%,"Darlinghurst and Surry Hill"
401,38,178,150,271,613.2%,"Darlinghurst and Surry Hill"
402,131,115,52,108,-17.6%,"Darlinghurst and Surry Hill"
403,131,134,102,299,128.2%,"Darlinghurst and Surry Hill"
404,120,97,51,43,-64.2%,"Darlinghurst and Surry Hill"
405,13,27,21,24,84.6%,"Darlinghurst and Surry Hill"
406,13,5,21,41,215.4%,"Darlinghurst and Surry Hill"
407,231,366,167,419,81.4%,"Darlinghurst and Surry Hill"
408,1,15,12,12,0.0%,"Darlinghurst and Surry Hill"
409,0,0,0,0,0.0%,"Darlinghurst and Surry Hill"
410,2,2,0,0,-100.0%,"Darlinghurst and Surry Hill"
411,34,54,48,41,20.6%,"Darlinghurst and Surry Hill"
412,0,0,0,0,0.0%,"Darlinghurst and Surry Hill"
413,24,22,39,15,-37.5%,"Darlinghurst and Surry Hill"
414,15,11,38,45,200.0%,"Darlinghurst and Surry Hill"
415,3,3,8,18,500.0%,"Darlinghurst and Surry Hill"
416,14,52,18,27,92.9%,"Darlinghurst and Surry Hill"
417,2,0,15,15,650.0%,"Darlinghurst and Surry Hill"
418,0,0,0,0,0.0%,"Darlinghurst and Surry Hill"
419,1,16,10,14,0.0%,"Darlinghurst and Surry Hill"
420,11,7,5,24,118.2%,"Darlinghurst and Surry Hill"
421,16,1,4,5,-68.8%,"Darlinghurst and Surry Hill"
422,452,400,157,157,-65.3%,"Darlinghurst and Surry Hill"
423,82,82,17,17,-79.3%,"Darlinghurst and Surry Hill"
424,23,23,39,39,69.6%,"Darlinghurst and Surry Hill"
425,0,0,0,0,0.0%,"Darlinghurst and Surry Hill"
426,0,0,0,0,0.0%,"Darlinghurst and Surry Hill"
427,13,13,20,22,69.2%,"Darlinghurst and Surry Hill"
428,34,74,62,62,82.4%,"Darlinghurst and Surry Hill"
429,15,30,9,9,-40.0%,"Darlinghurst and Surry Hill"
430,33,117,101,110,233.3%,"Darlinghurst and Surry Hill"
431,30,40,18,18,-40.0%,"Darlinghurst and Surry Hill"
432,4,15,23,28,600.0%,"Darlinghurst and Surry Hill"
433,47,201,61,170,261.7%,"Darlinghurst and Surry Hill"
434,2,2,120,138,6800.0%,"Darlinghurst and Surry Hill"
435,2,0,0,0,-100.0%,"Darlinghurst and Surry Hill"
436,17,16,15,15,-11.8%,"Darlinghurst and Surry Hill"
437,9,61,37,42,366.7%,"Darlinghurst and Surry Hill"
438,7,2,5,25,257.1%,"Darlinghurst and Surry Hill"
439,30,21,34,30,0.0%,"Darlinghurst and Surry Hill"
440,14,24,20,24,71.4%,"Darlinghurst and Surry Hill"
441,10,38,3,35,250.0%,"Darlinghurst and Surry Hill"
442,34,41,52,52,52.9%,"Darlinghurst and Surry Hill"
443,2,0,0,0,-100.0%,"Darlinghurst and Surry Hill"
444,30,24,6,14,-53.3%,"Darlinghurst and Surry Hill"
445,34,16,14,14,-58.8%,"Darlinghurst and Surry Hill"
446,10,51,19,19,90.0%,"Darlinghurst and Surry Hill"
447,6,48,11,19,216.7%,"Darlinghurst and Surry Hill"
448,4,13,14,13,225.0%,"Darlinghurst and Surry Hill"
449,7,24,36,50,614.3%,"Darlinghurst and Surry Hill"
450,8,30,10,10,25.0%,"Darlinghurst and Surry Hill"
451,9,57,46,34,277.8%,"Darlinghurst and Surry Hill"
452,27,106,33,29,7.4%,"Darlinghurst and Surry Hill"
453,49,50,22,39,-20.4%,"Darlinghurst and Surry Hill"
454,115,138,68,145,26.1%,"Darlinghurst and Surry Hill"
455,16,51,32,12,-25.0%,"Darlinghurst and Surry Hill"
456,16,57,74,68,325.0%,"Darlinghurst and Surry Hill"
457,70,31,120,120,71.4%,"Darlinghurst and Surry Hill"
458,6,52,93,108,1700.0%,"Darlinghurst and Surry Hill"
459,138,135,44,121,-12.3%,"Darlinghurst and Surry Hill"
460,10,3,2,3,-70.0%,"Darlinghurst and Surry Hill"
461,2,9,5,14,600.0%,"Darlinghurst and Surry Hill"
462,11,14,7,3,-72.7%,"Darlinghurst and Surry Hill"
463,8,31,11,45,462.5%,"Darlinghurst and Surry Hill"
464,94,113,64,81,-13.8%,"Darlinghurst and Surry Hill"
465,52,98,317,233,348.1%,"Darlinghurst and Surry Hill"
466,111,63,82,83,-25.2%,"Darlinghurst and Surry Hill"
467,19,66,64,64,236.8%,"Darlinghurst and Surry Hill"
468,119,89,46,138,16.0%,"Darlinghurst and Surry Hill"
469,110,165,113,216,96.4%,"Darlinghurst and Surry Hill"
470,33,46,31,45,36.4%,"Darlinghurst and Surry Hill"
471,61,227,124,228,273.8%,"Darlinghurst and Surry Hill"
472,33,35,14,19,-42.4%,"Darlinghurst and Surry Hill"
473,92,181,91,91,-1.1%,"Darlinghurst and Surry Hill"
474,46,48,53,92,100.0%,"Darlinghurst and Surry Hill"
475,3,3,2,1,-66.7%,"Darlinghurst and Surry Hill"
476,9,12,4,14,55.6%,"Darlinghurst and Surry Hill"
477,34,32,26,23,-32.4%,"Darlinghurst and Surry Hill"
478,63,63,25,25,-60.3%,"Darlinghurst and Surry Hill"
479,0,93,124,71,0.0%,"Darlinghurst and Surry Hill"
480,4,4,0,0,-100.0%,"Darlinghurst and Surry Hill"
481,2,2,4,0,-100.0%,"Darlinghurst and Surry Hill"
482,5,0,28,28,460.0%,"Darlinghurst and Surry Hill"
483,20,0,18,162,710.0%,"Darlinghurst and Surry Hill"
484,78,46,20,20,-74.4%,"Darlinghurst and Surry Hill"
485,3,12,5,23,666.7%,"Darlinghurst and Surry Hill"
486,3,0,0,8,166.7%,"Darlinghurst and Surry Hill"
487,26,31,39,39,50.0%,"Darlinghurst and Surry Hill"
488,9,0,0,3,-66.7%,"Darlinghurst and Surry Hill"
489,45,35,38,37,-17.8%,"Darlinghurst and Surry Hill"
490,14,26,7,7,-50.0%,"Darlinghurst and Surry Hill"
491,13,24,14,14,7.7%,"Darlinghurst and Surry Hill"
492,11,22,23,39,254.5%,"Darlinghurst and Surry Hill"
493,17,21,19,19,11.8%,"Darlinghurst and Surry Hill"
494,16,10,31,31,93.8%,"Darlinghurst and Surry Hill"
495,14,4,0,1,-92.9%,"Darlinghurst and Surry Hill"
496,10,13,11,11,10.0%,"Darlinghurst and Surry Hill"
497,9,17,14,14,55.6%,"Darlinghurst and Surry Hill"
498,34,29,36,29,-14.7%,"Darlinghurst and Surry Hill"
499,30,66,162,159,430.0%,"Darlinghurst and Surry Hill"
500,9,12,16,24,166.7%,"Darlinghurst and Surry Hill"
501,4,4,6,3,-25.0%,"Darlinghurst and Surry Hill"
502,100,77,24,32,-68.0%,"Darlinghurst and Surry Hill"
503,3,9,9,14,366.7%,"Darlinghurst and Surry Hill"
504,4,2,6,5,25.0%,"Darlinghurst and Surry Hill"
505,5,4,12,17,240.0%,"Darlinghurst and Surry Hill"
507,25,37,32,23,-8.0%,"Darlinghurst and Surry Hill"
508,1,19,72,13,0.0%,"Darlinghurst and Surry Hill"
509,9,35,19,42,366.7%,"Darlinghurst and Surry Hill"
510,1,1,15,48,0.0%,"Darlinghurst and Surry Hill"
511,37,40,42,43,16.2%,"Darlinghurst and Surry Hill"
512,12,12,71,46,283.3%,"Darlinghurst and Surry Hill"
513,21,21,33,26,23.8%,"Darlinghurst and Surry Hill"
514,69,50,41,98,42.0%,"Darlinghurst and Surry Hill"
515,59,45,54,58,-1.7%,"Darlinghurst and Surry Hill"
