OBJECTID,BLOCKNUM,BLOCKTXT,Total_FullTime_Jobs,Total_PartTime_Jobs,Total_Jobs,Businesses,Internal_FloorArea,PERIMETER,Shape__Area,Shape__Length
307,1027,1027,11,8,19,5,5639.977701,378.89,4.43E-07,0.003676769
308,1024,1024,17,3,20,4,18416.2382,828.809,1.46E-06,0.008320037
309,1025,1025,13,2,15,5,11840.36231,484.507,1.00E-06,0.005009283
310,1028,1028,11,0,11,1,9727.446442,436.176,8.02E-07,0.004219425
311,1026,1026,0,0,0,0,7106.096989,326.473,5.83E-07,0.003253725
312,23,23,253,54,307,34,68273.06356,247.487,2.46E-07,0.002391048
313,436,436,51,15,66,9,18363.47777,374.242,8.53E-07,0.003703076
314,434,434,178,138,316,21,22872.66465,683.015,2.82E-06,0.006837741
315,119,119,400,144,544,87,51525.45981,390.496,7.48E-07,0.003693733
316,500,500,10,24,34,4,10457.64838,400.798,6.80E-07,0.003797237
317,780,780,62,138,200,12,17808.03907,293.823,3.03E-07,0.002742693
318,782,782,38,29,67,7,4405.391855,148.259,1.01E-07,0.00153147
319,783,783,230,28,258,4,23818.94844,277.198,3.37E-07,0.002605509
320,130,130,3280,239,3519,36,146229.7752,455.952,1.06E-06,0.004364855
321,501,501,5,3,8,3,3898.193652,269.924,2.87E-07,0.002545686
322,225,225,32,46,78,2,11630.41113,987.104,2.16E-06,0.010004928
323,214,214,46,26,72,7,10228.78255,263.603,3.41E-07,0.00255395
324,240,240,3,3,6,1,35.72968962,1472.596,4.25E-06,0.014533201
325,223,223,248,227,475,29,24866.71913,1271.079,4.47E-06,0.012699578
326,1349,1349,0,0,0,0,780.5845462,156.96,1.50E-07,0.001556221
327,1347,1347,1,0,1,0,9134.305167,311.181,3.75E-07,0.003034177
328,1348,1348,0,0,0,0,4188.549317,457.071,5.92E-07,0.004476084
329,1341,1341,0,0,0,0,15137.63018,337.998,6.17E-07,0.003486437
330,1342,1342,0,0,0,0,43254.75157,403.932,9.09E-07,0.004141962
331,1343,1343,2,0,2,0,47602.89646,407.681,9.65E-07,0.004103295
332,1344,1344,0,0,0,0,6168.013848,370.282,6.01E-07,0.003191567
333,1346,1346,0,0,0,0,0,1019.439,2.77E-06,0.010097723
334,1350,1350,0,0,0,0,42549.53235,597.303,7.22E-07,0.005966657
335,1324,1324,3,4,7,2,19651.6671,203.416,2.38E-07,0.001947161
336,459,459,310,121,431,13,57892.58291,597.591,2.22E-06,0.005902921
337,175,175,542,159,701,135,85998.83421,504.251,1.42E-06,0.004930904
338,1005,1005,1,0,1,1,15135.34479,595.082,1.51E-06,0.00565258
339,1006,1006,18,13,31,2,16470.39202,971.898,5.24E-06,0.009742451
340,1007,1007,0,0,0,0,1224.214455,674.433,3.04E-06,0.006679108
341,20,20,350,300,650,53,24914.10604,1950.561,3.40E-06,0.018883294
342,1211,1211,1,0,1,0,29776.1896,384.104,7.00E-07,0.003745113
343,1210,1210,1,0,1,0,38583.83961,366.679,7.85E-07,0.003608001
344,1215,1215,0,0,0,0,0,335.003,4.97E-07,0.003226676
345,1216,1216,2,4,6,1,36260.68221,396.365,7.79E-07,0.003830981
346,1218,1218,13,4,17,1,94555.6723,580.996,2.07E-06,0.005683481
347,1222,1222,1,0,1,0,16714.06229,259.541,4.07E-07,0.002594168
348,981,981,0,0,0,0,11879.52115,527.13,1.32E-06,0.005130943
349,985,985,0,0,0,0,2549.841378,215.883,2.24E-07,0.002158141
350,988,988,0,0,0,0,4387.205729,374.917,8.49E-07,0.003654148
351,972,972,0,0,0,0,7730.316909,426.028,1.02E-06,0.004276005
352,969,969,0,0,0,0,7755.914933,431.706,1.05E-06,0.004328859
353,970,970,0,0,0,0,6593.128368,400.796,9.15E-07,0.004018152
354,971,971,0,0,0,0,10887.96127,585.593,1.53E-06,0.005928557
355,31,31,3893,374,4267,28,161952.7915,412.705,7.99E-07,0.003917792
356,42,42,1317,516,1833,96,97169.36226,400.582,7.83E-07,0.003902027
357,354,354,201,66,267,23,45859.13703,519.03,1.56E-06,0.005005212
358,568,568,95,84,179,20,4134.63924,155.12,1.42E-07,0.001542677
359,991,991,0,0,0,0,8962.091719,701.716,1.94E-06,0.006853797
360,44,44,2815,508,3323,152,122392.2127,448.855,8.29E-07,0.004468852
361,950,950,3,14,17,2,13464.20957,479.252,1.34E-06,0.00473232
362,846,846,0,0,0,0,4856.291464,359.569,6.74E-07,0.003474375
363,847,847,0,0,0,0,3192.470779,359.569,3.01E-07,0.002187974
364,848,848,0,0,0,0,2885.153509,219.692,2.94E-07,0.002180917
365,851,851,0,2,2,1,3219.901619,208.882,2.67E-07,0.002064706
366,853,853,0,0,0,0,2579.663448,330.67,3.04E-07,0.002217018
367,852,852,0,0,0,0,2515.550528,359.569,2.68E-07,0.002079986
