Num,BLOCKNUM,Total_FullTime_Jobs,Total_PartTime_Jobs,Total_Jobs,Businesses,Internal_FloorArea,PERIMETER,Shape__Area,Shape__Length,suburb,jobs_sqm
523,934,0,0,0,0,7518.874943,345.647,0.000000667,0.003401737,Glebe,0
524,935,18,0,18,2,10724.98719,341.702,0.000000644,0.003359408,Glebe,0
525,933,0,0,0,0,9428.592717,433.507,0.000000925,0.004250054,Glebe,0
526,936,0,0,0,0,10657.72937,431.17,0.000000907,0.004210396,Glebe,0
527,558,483,4,487,1,34478.11442,320.312,0.000000583,0.003143166,"Darlinghurst and Surry Hill",0.01
528,584,0,0,0,0,9558.346448,368.162,0.000000756,0.003586143,"Darlinghurst and Surry Hill",0
529,342,0,0,0,0,7709.63241,272.748,0.000000434,0.002760961,"Pott Point",0
530,1113,3,7,10,3,42734.58317,587.377,0.00000163,0.005608576,Alexandria,0
531,680,1,2,3,1,724.349672,203.313,0.000000158,0.002003445,"Redfern, Erskineville and Macdonaldtown",0
532,681,0,0,0,0,7399.516152,356.37,0.000000618,0.003539455,"Redfern, Erskineville and Macdonaldtown",0
533,683,3,2,5,1,7029.028526,406.707,0.000000478,0.004263515,"Redfern, Erskineville and Macdonaldtown",0
534,682,0,2,2,1,11805.97755,455.909,0.000000992,0.004639078,"Redfern, Erskineville and Macdonaldtown",0
535,1217,11,36,47,4,34843.41916,358.089,0.00000077,0.003543365,Zetland,0
536,1013,31,19,50,9,12780.87785,606.533,0.00000145,0.005953958,Alexandria,0
537,1011,27,13,40,7,33950.14867,613.577,0.00000158,0.006018395,Alexandria,0
538,1012,6,5,11,2,14287.74253,616.607,0.00000158,0.00605227,Alexandria,0
539,16,653,160,813,30,19905.77364,589.954,0.00000139,0.005653551,"Sydney CBD",0.04
540,52,70,102,172,15,17113.28912,458.194,0.000000669,0.004254174,"Sydney CBD",0.01
541,53,2807,172,2979,114,178728.466,523.512,0.00000121,0.004943444,"Sydney CBD",0.02
542,565,647,118,765,62,26582.21091,272.202,0.00000039,0.002613667,"Darlinghurst and Surry Hill",0.03
543,609,15,11,26,2,8707.154201,241.32,0.000000172,0.002320124,"Redfern, Erskineville and Macdonaldtown",0
544,711,0,0,0,0,6125.140257,875.291,0.00000204,0.009140338,"Redfern, Erskineville and Macdonaldtown",0
545,710,11,3,14,1,4710.358956,287.502,0.000000372,0.002955782,"Redfern, Erskineville and Macdonaldtown",0
546,706,73,13,86,4,9805.767688,475.698,0.00000126,0.004599496,"Redfern, Erskineville and Macdonaldtown",0.01
547,709,0,0,0,0,2760.425422,252.79,0.00000037,0.002508279,"Redfern, Erskineville and Macdonaldtown",0
548,701,0,0,0,0,5375.113488,338.399,0.00000044,0.003212874,"Redfern, Erskineville and Macdonaldtown",0
549,702,0,0,0,0,5778.089298,288.906,0.000000496,0.002835129,"Redfern, Erskineville and Macdonaldtown",0
550,703,3,3,6,1,5722.709877,297.843,0.000000524,0.002921693,"Redfern, Erskineville and Macdonaldtown",0
551,704,0,0,0,0,4158.113318,340.249,0.000000398,0.003511449,"Redfern, Erskineville and Macdonaldtown",0
552,705,0,0,0,0,8560.659687,409.6,0.000000956,0.003957199,"Redfern, Erskineville and Macdonaldtown",0
553,707,19,0,19,2,15704.81102,471.522,0.00000124,0.00453364,"Redfern, Erskineville and Macdonaldtown",0
554,708,4,0,4,1,14376.45572,569.54,0.00000152,0.005871215,"Redfern, Erskineville and Macdonaldtown",0
555,22,299,116,415,6,55392.63556,301.901,0.000000448,0.002929247,"Sydney CBD",0.01
556,69,2392,310,2702,92,53743.7045,413.138,0.000000596,0.003364065,"Sydney CBD",0.05
557,104,273,82,355,3,66231.34054,1279.252,0.00000842,0.012451437,"Sydney CBD",0.01
558,110,236,209,445,5,28573.24501,1576.658,0.00000241,0.015608262,"Sydney CBD",0.02
559,525,117,19,136,28,10920.9207,320.571,0.000000533,0.003287134,"Darlinghurst and Surry Hill",0.01
560,559,0,0,0,0,0,189.862,0.000000195,0.001814007,"Darlinghurst and Surry Hill",0
561,610,392,136,528,11,18469.04352,383.223,0.00000029,0.003628718,"Redfern, Erskineville and Macdonaldtown",0.03
562,24,127,23,150,12,41364.47773,402.947,0.000000589,0.003834112,"Sydney CBD",0
563,15,226,164,390,46,18034.23016,388.982,0.000000824,0.00371585,"Sydney CBD",0.02
564,521,251,60,311,8,19058.91423,237.422,0.000000292,0.002404379,"Darlinghurst and Surry Hill",0.02
565,598,8,0,8,1,5766.368324,313.262,0.000000579,0.003060024,"Darlinghurst and Surry Hill",0
566,757,2,9,11,1,15084.63393,765.8,0.00000103,0.007173497,"Redfern, Erskineville and Macdonaldtown",0
567,57,1611,187,1798,46,80854.56625,336.31,0.000000501,0.003169528,"Sydney CBD",0.02
568,63,1637,276,1913,116,42543.76762,295.893,0.000000487,0.002852052,"Sydney CBD",0.04
569,116,1167,650,1817,175,213227.7646,583.157,0.00000165,0.005570854,"Sydney CBD",0.01
570,10,56,74,130,17,47631.07961,1202.968,0.00000611,0.01141051,"Sydney CBD",0
571,662,20,0,20,2,12136.17475,310.231,0.00000057,0.003080167,"Redfern, Erskineville and Macdonaldtown",0
572,523,2428,407,2835,36,72653.32547,484.862,0.00000129,0.004674544,"Darlinghurst and Surry Hill",0.04
573,587,47,46,93,22,14290.8729,697.877,0.00000125,0.007027371,"Darlinghurst and Surry Hill",0.01
574,101,33,20,53,1,5213.887822,789.457,0.00000398,0.007767232,"Sydney CBD",0.01
575,511,125,43,168,11,5332.41727,312.876,0.000000426,0.003201828,"Darlinghurst and Surry Hill",0.03
576,512,117,46,163,13,26799.87596,329.888,0.000000625,0.003356591,"Darlinghurst and Surry Hill",0.01
577,513,63,26,89,5,11881.57424,361.842,0.000000802,0.003639204,"Darlinghurst and Surry Hill",0.01
578,514,771,98,869,27,23326.37163,371.321,0.000000847,0.00373993,"Darlinghurst and Surry Hill",0.04
579,515,66,58,124,9,20602.86794,523.802,0.000000849,0.005202871,"Darlinghurst and Surry Hill",0.01
580,516,428,70,498,27,20318.7192,424.07,0.00000083,0.004128468,"Darlinghurst and Surry Hill",0.02
